age,artist,designer,dominio,imagem,mecanicas,media,notaRank,notas,numOfPlayers,position,timeOfPlay,title,year
 6 + ,"Rodrigo Grola,Marcos Keller",Cussa Mitre,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/6540_t.jpg,Seleção de Cartas,7.41,6.47,17,2 a 10 jogadores ,1842º,10 min,Bifrost: The Viking Party Game, (2016)
 14 + ,Mihajlo Dimitrievski,Dávid Turczi,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/17450_t.jpg,"Construção de Baralho/Peças,Controle/Influência de Área,Rolagem de Dados",7.37,6.48,18,2 a 4 jogadores ,1839º,60 min,Dice Settlers, (2018)
 8 + ,"Daniele Barletta,David Cochard",Stefano Luperto,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/797_t.jpg,"Votação,Blefe,Dedução",7.11,6.47,25,3 a 6 jogadores ,1843º,30 min,King Me!, (1998)
 10 + ,Josh Cappel,"Christian Leonhard,Jason Matthews",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/6759_t.jpg,"Gestão de Mão,Controle/Influência de Área,Rolagem de Dados,Seleção de Cartas,Simulação",7.33,6.48,19,2 jogadores ,1833º,50 min,Campaign Manager 2008, (2009)
 13 + ,"William Bricker,Darrell Louder,Ian Rosenthaler",Scott Almes,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/4566_t.jpg,"Campanha/ Batalhas Dirigidas por Cartas,Cooperativo,Controle/Influência de Área,Jogadores com Diferentes Habilidades,Sistema de Pontos de Ação",6.89,6.48,40,1 a 4 jogadores ,1832º,30 min,Tiny Epic Defenders, (2014)
 8 + ,,Darren Kisgen,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/7573_t.jpg,"Gestão de Mão,Colecionar Componentes,Rolagem de Dados",7.69,6.44,12,2 a 4 jogadores ,1900º,20 min,Dragonwood, (2015)
 10 + ,,Seiji Kanai,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/7667_t.jpg,"Gestão de Mão,Eliminação de Jogadores,Blefe,Dedução",7.63,6.48,14,2 a 4 jogadores ,1837º,10 min,Love Letter: The Hobbit – The Battle of the Five Armies, (2015)
 8 + ,"Jochen Frick,Harald Lieske",Wolfgang Kramer,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/3226_t.jpg,"Leilão,Pegar e Entregar,Rolar e Mover",6.99,6.48,31,2 a 6 jogadores ,1838º,60 min,Auf Achse, (1987)
 10 + ,"Florian de Gesincourt,Arnaud Demaegd","Thomas Cauet,Cyril Demaegd",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/14464_t.jpg,"Cooperativo,Narração de Histórias",7.45,6.45,15,2 a 6 jogadores ,1898º,75 min,Unlock! The Island of Doctor Goorse, (2017)
 12 + ,"Scott Okumura,Ben Oliver","Rob Daviau,Noah Cohen,JR Honeycutt,Ryan Miller,Brian Neff,Andrew Veen",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/18503_t.jpg,"Cooperativo,Narração de Histórias,RPG",7.48,6.47,16,3 a 5 jogadores ,1840º,90 min,Betrayal Legacy, (2018)
 10 + ,Zak Eidsvoog,Tim Pinder,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/12388_t.jpg,"Colocação de Peças,Cooperativo,Force sua sorte,Jogadores com Diferentes Habilidades,Movimento em Grades,Movimento Ponto-a-Ponto,Sistema de Pontos de Ação",7.95,6.45,10,1 a 6 jogadores ,1896º,90 min,Sub Terra, (2017)
 13 + ,Sanjana Baijnath,Ted Alspach,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/1358_t.jpg,"Jogadores com Diferentes Habilidades,Jogo em Equipe,Narração de Histórias,RPG,Votação,Blefe,Dedução,Negociação",7.02,6.45,26,5 a 68 jogadores ,1897º,30 min,Ultimate Werewolf: Ultimate Edition, (2008)
 10 + ,Adam P. McIver,Alex Churchill,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/7939_t.jpg,"Alocação de Trabalhadores,Colocação de Peças,Tabuleiro Modular",7.95,6.45,10,2 a 5 jogadores ,1895º,90 min,Steam Works, (2015)
 18 + ,,"Michel Fischman,Emmanuel Rabell",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/25396_t.jpg,Blefe,7.52,6.45,14,3 a 21 jogadores ,1894º,15 min,Amigos de Mierda, (2019)
 10 + ,,,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/3927_t.jpg,"Colocação de Peças,Controle/Influência de Área,Movimento de Área,Rolagem de Dados",7.83,6.45,11,2 a 6 jogadores ,1891º,0 min,RISK: StarCraft Collector's Edition, (2012)
 10 + ,Victor Boden,Eilif Svensson,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/9323_t.jpg,"Gestão de Mão,Alocação de Trabalhadores,Controle/Influência de Área,Ordem de Fases Variável",7.83,6.48,12,2 a 5 jogadores ,1834º,75 min,Mangrovia, (2014)
 10 + ,Philip Kustov,Corné van Moorsel,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/7735_t.jpg,Linha de Tempo,7.71,6.45,12,2 a 5 jogadores ,1892º,50 min,Samara, (2015)
